plane_fit_2_contact_pts,
1302.28625
1300.93103
1300.14026
1298.60474
1298.29297
1297.40723
1296.82007
1296.44751
1296.19482
1297.44763
1297.14978
1296.71692
1297.10193
1296.50964
1294.96985
1295.82751
